Year,Month,monthly_Anomaly,monthly_Unc.,annual_Anomaly,annual_Unc.,five_yr_Anomaly,five_year_Unc.,ten_yr_Anomaly,ten_yr_Unc.,twenty_yr_Anomaly,twenty_yr_Unc.
1855,12,-0.54,0.339,-0.326,0.14,-0.362,0.107,-0.334,0.123,nan,nan
1856,1,0.034,0.364,-0.316,0.139,-0.368,0.108,-0.341,0.125,nan,nan
1856,2,-0.386,0.57,-0.339,0.154,-0.373,0.108,-0.343,0.126,nan,nan
1856,3,-0.406,0.245,-0.359,0.171,-0.374,0.109,-0.343,0.125,nan,nan
1856,4,-0.406,0.228,-0.39,0.166,-0.371,0.107,-0.342,0.121,nan,nan
1856,5,-0.334,0.277,-0.406,0.162,-0.363,0.107,-0.343,0.119,nan,nan
1856,6,-0.121,0.299,-0.396,0.163,-0.366,0.108,-0.344,0.118,nan,nan
1856,7,-0.236,0.186,-0.441,0.166,-0.363,0.109,-0.345,0.118,nan,nan
1856,8,-0.512,0.333,-0.454,0.141,-0.358,0.106,-0.344,0.116,nan,nan
1856,9,-0.711,0.32,-0.473,0.138,-0.357,0.104,-0.344,0.115,nan,nan
1856,10,-0.677,0.212,-0.507,0.142,-0.351,0.103,-0.347,0.113,nan,nan
1856,11,-0.575,0.276,-0.542,0.144,-0.346,0.103,-0.345,0.11,nan,nan
1856,12,-0.426,0.323,-0.577,0.149,-0.34,0.102,-0.347,0.108,nan,nan
1857,1,-0.507,0.401,-0.598,0.156,-0.343,0.101,-0.353,0.107,nan,nan
1857,2,-0.542,0.313,-0.592,0.153,-0.346,0.1,-0.355,0.105,nan,nan
1857,3,-0.629,0.239,-0.573,0.147,-0.35,0.1,-0.354,0.104,nan,nan
1857,4,-0.815,0.264,-0.561,0.152,-0.356,0.097,-0.354,0.103,nan,nan
1857,5,-0.751,0.263,-0.555,0.159,-0.356,0.095,-0.355,0.101,nan,nan
1857,6,-0.546,0.258,-0.538,0.167,-0.354,0.098,-0.357,0.099,nan,nan
1857,7,-0.487,0.27,-0.513,0.159,-0.358,0.096,-0.36,0.098,nan,nan
1857,8,-0.446,0.296,-0.508,0.16,-0.362,0.1,-0.361,0.098,nan,nan
1857,9,-0.477,0.28,-0.482,0.161,-0.369,0.102,-0.363,0.098,nan,nan
1857,10,-0.529,0.268,-0.437,0.157,-0.372,0.104,-0.365,0.097,nan,nan
1857,11,-0.502,0.3,-0.408,0.15,-0.372,0.101,-0.365,0.095,nan,nan
1857,12,-0.223,0.258,-0.384,0.15,-0.37,0.101,-0.373,0.096,nan,nan
1858,1,-0.21,0.356,-0.37,0.145,-0.368,0.098,-0.372,0.094,nan,nan
1858,2,-0.489,0.268,-0.359,0.135,-0.368,0.098,-0.37,0.091,nan,nan
1858,3,-0.307,0.25,-0.359,0.132,-0.365,0.098,-0.37,0.09,nan,nan
1858,4,-0.279,0.243,-0.339,0.13,-0.366,0.097,-0.37,0.088,nan,nan
1858,5,-0.406,0.222,-0.312,0.124,-0.368,0.099,-0.369,0.087,nan,nan
1858,6,-0.255,0.227,-0.334,0.128,-0.374,0.103,-0.371,0.086,nan,nan
1858,7,-0.313,0.214,-0.346,0.126,-0.391,0.106,-0.374,0.086,nan,nan
1858,8,-0.317,0.194,-0.329,0.127,-0.395,0.102,-0.377,0.086,nan,nan
1858,9,-0.482,0.223,-0.324,0.12,-0.398,0.103,-0.378,0.087,nan,nan
1858,10,-0.282,0.237,-0.3,0.111,-0.399,0.101,-0.378,0.086,nan,nan
1858,11,-0.178,0.253,-0.264,0.111,-0.401,0.1,-0.375,0.086,nan,nan
1858,12,-0.492,0.279,-0.252,0.107,-0.405,0.101,-0.375,0.087,nan,nan
1859,1,-0.348,0.313,-0.252,0.105,-0.406,0.1,-0.375,0.087,nan,nan
1859,2,-0.294,0.273,-0.255,0.106,-0.401,0.098,-0.373,0.088,nan,nan
1859,3,-0.24,0.271,-0.258,0.106,-0.396,0.097,-0.374,0.088,nan,nan
1859,4,0.011,0.226,-0.255,0.108,-0.393,0.096,-0.375,0.089,nan,nan
1859,5,0.017,0.214,-0.256,0.109,-0.387,0.095,-0.374,0.089,nan,nan
1859,6,-0.112,0.185,-0.222,0.105,-0.386,0.096,-0.371,0.089,nan,nan
1859,7,-0.308,0.211,-0.221,0.105,-0.392,0.096,-0.371,0.089,nan,nan
1859,8,-0.349,0.207,-0.222,0.11,-0.396,0.096,-0.372,0.089,nan,nan
1859,9,-0.522,0.199,-0.26,0.119,-0.395,0.097,-0.374,0.089,nan,nan
